Standortname;PLZ;Standplatz-Bezeichnung_Internet;Latitude;Longitude;Title
Leipzig-Engelsdorf;4319;Bahnsteig Richtung Dresden;51,1030829;7,2240777;Bahnsteig Richtung Dresden - Leipzig-Engelsdorf - 4319
Leipzig-Thekla;4349;Bahnsteig 1;51,1030829;7,2240777;Bahnsteig 1 - Leipzig-Thekla - 4349
Leipzig Messe;4356;Unterführung Zugang Bahnsteige;51,1030829;7,2240777;Unterführung Zugang Bahnsteige - Leipzig Messe - 4356
Leipzig Mockauer Straße;4357;Bahnsteig;51,1030829;7,2240777;Bahnsteig - Leipzig Mockauer Straße - 4357
Leipzig Essener Straße;4357;Mittelbahnsteig;51,1030829;7,2240777;Mittelbahnsteig - Leipzig Essener Straße - 4357
Markkleeberg-Gaschwitz;4416;Zugang Tunnel;51,5070785;7,4176438;Zugang Tunnel - Markkleeberg-Gaschwitz - 4416
Markkleeberg-Großstädteln;4416;Mittelbahnsteig 1/2;51,5070785;7,4176438;Mittelbahnsteig 1/2 - Markkleeberg-Großstädteln - 4416
Markkleeberg Nord;4416;Mittelbahnsteig 1/2;51,5070785;7,4176438;Mittelbahnsteig 1/2 - Markkleeberg Nord - 4416
Markkleeberg;4416;Mittelbahnsteig 1/2;51,5070785;7,4176438;Mittelbahnsteig 1/2 - Markkleeberg - 4416
Taucha (b Leipzig);4425;Hausbahnsteig;51,4517574;7,4568942;Hausbahnsteig - Taucha (b Leipzig) - 4425
Schkeuditz West;4435;Zugang vom Parkplatz;51,5512261;7,4790381;Zugang vom Parkplatz - Schkeuditz West - 4435
Leipzig/Halle Flughafen;4435;Flughafen Ankunftshalle;51,5512261;7,4790381;Flughafen Ankunftshalle - Leipzig/Halle Flughafen - 4435
Leipzig/Halle Flughafen;4435;Bahnsteig 2 Richtung Halle;51,5512261;7,4790381;Bahnsteig 2 Richtung Halle - Leipzig/Halle Flughafen - 4435
Schkeuditz;4435;Bahnsteig 2 Richtung Halle;51,5512261;7,4790381;Bahnsteig 2 Richtung Halle - Schkeuditz - 4435
Leipzig/Halle Flughafen;4435;Bahnsteig 1 Richtung Leipzig;51,5512261;7,4790381;Bahnsteig 1 Richtung Leipzig - Leipzig/Halle Flughafen - 4435
Schkeuditz;4435;Bahnsteig 1 Richtung Leipzig;51,5512261;7,4790381;Bahnsteig 1 Richtung Leipzig - Schkeuditz - 4435
Leipzig/Halle Flughafen;4435;Bahnsteig 1 Richtung Leipzig;51,5512261;7,4790381;Bahnsteig 1 Richtung Leipzig - Leipzig/Halle Flughafen - 4435
Borsdorf (Sachs);4451;Zugang Bahnsteig 1;51,5017141;7,3351371;Zugang Bahnsteig 1 - Borsdorf (Sachs) - 4451
Borsdorf (Sachs);4451;Bahnsteig 2/3;51,5017141;7,3351371;Bahnsteig 2/3 - Borsdorf (Sachs) - 4451
Delitzsch unt Bf;4509;Bahnsteig 1;51,4929817;7,3058408;Bahnsteig 1 - Delitzsch unt Bf - 4509
Borna (b Leipzig);4552;Hausbahnsteig;51,3882662;6,8566061;Hausbahnsteig - Borna (b Leipzig) - 4552
Böhlen (b Leipzig);4564;Bahnhofsvorplatz;51,3436595;7,2465538;Bahnhofsvorplatz - Böhlen (b Leipzig) - 4564
Regis-Breitingen;4565;Außenbahnsteig 2;51,3436595;7,2465538;Außenbahnsteig 2 - Regis-Breitingen - 4565
Neukieritzsch;4575;Bahnsteig 4;51,637739;7,2579564;Bahnsteig 4 - Neukieritzsch - 4575
Altenburg;4600;Tunnel;51,5540454;6,998364;Tunnel - Altenburg - 4600
Altenburg;4600;Bahnsteig 1;51,5540454;6,998364;Bahnsteig 1 - Altenburg - 4600
Schmölln(Thür);4626;Hausbahnsteig;51,5964063;6,9081701;Hausbahnsteig - Schmölln(Thür) - 4626
Gößnitz;4639;Bahnsteig 1/2;51,826563;6,9348091;Bahnsteig 1/2 - Gößnitz - 4639
Geithain;4643;Hausbahnsteig;51,8331306;6,4641478;Hausbahnsteig - Geithain - 4643
Bad Lausick;4651;Zugang Bahnsteig 1;51,6652446;6,4424438;Zugang Bahnsteig 1 - Bad Lausick - 4651
Frohburg;4654;Hausbahnsteig;51,5817526;6,7971766;Hausbahnsteig - Frohburg - 4654
Oschatz;4758;Zugang Bahnsteig Richtung Dresden;51,703086;6,1312129;Zugang Bahnsteig Richtung Dresden - Oschatz - 4758
Oschatz;4758;Bahnsteig 2;51,703086;6,1312129;Bahnsteig 2 - Oschatz - 4758
Dahlen (Sachs);4774;Zugang Bahnsteig 2;51,3969941;6,3276794;Zugang Bahnsteig 2 - Dahlen (Sachs) - 4774
Dahlen (Sachs);4774;Bahnsteig 1;51,3969941;6,3276794;Bahnsteig 1 - Dahlen (Sachs) - 4774
Wurzen;4808;Zugang Tunnel;51,3331676;6,3395545;Zugang Tunnel - Wurzen - 4808
